open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2026-03-25 12:00:00,71678.97,71955.17,71105.43,71715.24,1032.92186,2026-03-25 12:59:59.999,73855260.7315743,222476,450.96839,32261181.3068247,0
2026-03-25 13:00:00,71715.24,71963.71,71515.84,71581.42,982.27587,2026-03-25 13:59:59.999,70476068.3171078,243148,413.44611,29670465.1984803,0
2026-03-25 14:00:00,71581.42,71699.87,71230.51,71234.28,810.44092,2026-03-25 14:59:59.999,57880870.2172742,231368,324.78535,23196922.4671895,0
2026-03-25 15:00:00,71234.28,71301.37,70530.47,70832.99,1384.84596,2026-03-25 15:59:59.999,98160696.971697,253581,507.9965,36020902.7765495,0
2026-03-25 16:00:00,70832.99,71752.88,70719.26,71324.01,1283.82328,2026-03-25 16:59:59.999,91513901.339638,222753,764.53158,54489250.0078849,0
2026-03-25 17:00:00,71324.01,71389.14,70720.38,70779.0,662.98589,2026-03-25 17:59:59.999,47091422.0408755,167487,272.18968,19328124.748102,0
2026-03-25 18:00:00,70778.99,71149.07,70681.07,70810.34,535.29926,2026-03-25 18:59:59.999,37953343.5156165,140697,272.80668,19343915.7915837,0
2026-03-25 19:00:00,70810.34,71093.37,70777.51,70883.31,513.05944,2026-03-25 19:59:59.999,36388337.1284257,121601,296.15332,21004951.4509412,0
2026-03-25 20:00:00,70883.32,71058.82,70646.34,71009.5,573.58151,2026-03-25 20:59:59.999,40616848.8138354,80576,247.34199,17520071.9391309,0
2026-03-25 21:00:00,71009.5,71175.0,70949.3,71035.24,379.86408,2026-03-25 21:59:59.999,26982943.2591111,65254,190.79629,13551993.6643533,0
2026-03-25 22:00:00,71035.25,71594.11,70947.61,71369.08,505.87572,2026-03-25 22:59:59.999,36057415.5721548,95958,296.22366,21114970.4925136,0
2026-03-25 23:00:00,71369.07,71511.83,71189.55,71336.53,383.33913,2026-03-25 23:59:59.999,27355609.4642201,79048,247.42514,17660928.3978555,0
